Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","36686.784","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","18549.862","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","18136.922","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","27099.874","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","9273.302","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","37769.499","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","19090.409","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","18679.089","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","27626.382","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","9582.625","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","2877.013","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","1441.209","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","1435.804","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","1164.388","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1769.975","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","2873.883","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","1438.686","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","1435.198","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","1139.266","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","1799.162","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","41927.007","X","Figure from international organizations",""
